win,lose,probability,average,accuracy,accuracy with average,result_guess
Oklahoma City Thunder,Orlando Magic,0.5889,0.6947,0.6244,0.6595,0
Phoenix Suns,Minnesota Timberwolves,0.7223,0.6947,0.6244,0.6595,1
Philadelphia 76ers,Washington Wizards,0.7902,0.6947,0.6244,0.6595,1
Boston Celtics,Cleveland Cavaliers,0.5126,0.6947,0.6244,0.6595,0
Miami Heat,Sacramento Kings,0.8883,0.6947,0.6244,0.6595,1
New York Knicks,Atlanta Hawks,0.515,0.6947,0.6244,0.6595,0
Chicago Bulls,Charlotte Hornets,0.6236,0.6947,0.6244,0.6595,0
Los Angeles Clippers,Houston Rockets,0.8181,0.6947,0.6244,0.6595,1
Milwaukee Bucks,Detroit Pistons,0.9078,0.6947,0.6244,0.6595,1
Toronto Raptors,San Antonio Spurs,0.6464,0.6947,0.6244,0.6595,0
Dallas Mavericks,Utah Jazz,0.6578,0.6947,0.6244,0.6595,0
Memphis Grizzlies,Portland Trail Blazers,0.7055,0.6947,0.6244,0.6595,1
Los Angeles Lakers,New Orleans Pelicans,0.6127,0.6947,0.6244,0.6595,0
Golden State Warriors,Orlando Magic,0.884,0.6947,0.6244,0.6595,1
Denver Nuggets,Oklahoma City Thunder,0.7779,0.6947,0.6244,0.6595,1
Cleveland Cavaliers,Detroit Pistons,0.8103,0.6947,0.6244,0.6595,1
Miami Heat,Indiana Pacers,0.8495,0.6947,0.6244,0.6595,1
Philadelphia 76ers,New York Knicks,0.7532,0.6947,0.6244,0.6595,1
Brooklyn Nets,Washington Wizards,0.5003,0.6947,0.6244,0.6595,0
Boston Celtics,Chicago Bulls,0.6689,0.6947,0.6244,0.6595,1
Memphis Grizzlies,Charlotte Hornets,0.6885,0.6947,0.6244,0.6595,1
Los Angeles Clippers,San Antonio Spurs,0.5888,0.6947,0.6244,0.6595,0
Dallas Mavericks,Toronto Raptors,0.6883,0.6947,0.6244,0.6595,1
Golden State Warriors,New Orleans Pelicans,0.7335,0.6947,0.6244,0.6595,1
Milwaukee Bucks,Minnesota Timberwolves,0.5158,0.6947,0.6244,0.6595,0
Phoenix Suns,Portland Trail Blazers,0.8463,0.6947,0.6244,0.6595,1
Utah Jazz,Los Angeles Lakers,0.6067,0.6947,0.6244,0.6595,0
Sacramento Kings,Orlando Magic,0.5552,0.6947,0.6244,0.6595,0
Charlotte Hornets,Brooklyn Nets,0.6151,0.6947,0.6244,0.6595,0
Atlanta Hawks,New Orleans Pelicans,0.7178,0.6947,0.6244,0.6595,1
Boston Celtics,New York Knicks,0.6249,0.6947,0.6244,0.6595,0
Milwaukee Bucks,Oklahoma City Thunder,0.9012,0.6947,0.6244,0.6595,1
Minnesota Timberwolves,Houston Rockets,0.8943,0.6947,0.6244,0.6595,1
Denver Nuggets,San Antonio Spurs,0.767,0.6947,0.6244,0.6595,1
Phoenix Suns,Portland Trail Blazers,0.8463,0.6947,0.6244,0.6595,1
Cleveland Cavaliers,Los Angeles Lakers,0.5768,0.6947,0.6244,0.6595,0
Memphis Grizzlies,Washington Wizards,0.7763,0.6947,0.6244,0.6595,1
Toronto Raptors,Chicago Bulls,0.5924,0.6947,0.6244,0.6595,0
Utah Jazz,Los Angeles Clippers,0.5119,0.6947,0.6244,0.6595,0
Charlotte Hornets,Washington Wizards,0.6885,0.6947,0.6244,0.6595,1
Orlando Magic,Houston Rockets,0.6142,0.6947,0.6244,0.6595,0
Detroit Pistons,Oklahoma City Thunder,0.5308,0.6947,0.6244,0.6595,0
New Orleans Pelicans,Indiana Pacers,0.6239,0.6947,0.6244,0.6595,0
Philadelphia 76ers,Phoenix Suns,0.5823,0.6947,0.6244,0.6595,0
