Wteam,Lteam,Wloc
Chicago Bulls,Orlando Magic,V
Indiana Pacers,Toronto Raptors,H
Atlanta Hawks,Memphis Grizzlies,V
Washington Wizards,Oklahoma City Thunder,V
San Antonio Spurs,Boston Celtics,H
Milwaukee Bucks,Denver Nuggets,V
New Orleans Pelicans,Utah Jazz,V
Golden State Warriors,Portland Trail Blazers,H
Sacramento Kings,Los Angeles Lakers,V
Minnesota Timberwolves,Philadelphia 76ers,V
New York Knicks,Atlanta Hawks,V
Phoenix Suns,Brooklyn Nets,V
Miami Heat,Chicago Bulls,V
Cleveland Cavaliers,Orlando Magic,H
Houston Rockets,Charlotte Hornets,H
Washington Wizards,Dallas Mavericks,V
Utah Jazz,New Orleans Pelicans,H
Golden State Warriors,Los Angeles Clippers,V
Milwaukee Bucks,Indiana Pacers,V
Memphis Grizzlies,Sacramento Kings,H
Boston Celtics,Toronto Raptors,V
Los Angeles Lakers,Detroit Pistons,H
Philadelphia 76ers,Orlando Magic,H
Denver Nuggets,Miami Heat,V
Chicago Bulls,Charlotte Hornets,H
Houston Rockets,Oklahoma City Thunder,H
Minnesota Timberwolves,Indiana Pacers,H
Cleveland Cavaliers,Dallas Mavericks,V
San Antonio Spurs,Washington Wizards,H
Utah Jazz,Portland Trail Blazers,H
New Orleans Pelicans,Los Angeles Clippers,V
Brooklyn Nets,New York Knicks,H
Memphis Grizzlies,Toronto Raptors,V
Phoenix Suns,Golden State Warriors,H
Portland Trail Blazers,Detroit Pistons,H
Los Angeles Lakers,Sacramento Kings,V
Atlanta Hawks,Indiana Pacers,V
Orlando Magic,Denver Nuggets,H
Washington Wizards,Minnesota Timberwolves,H
Boston Celtics,Philadelphia 76ers,H
Cleveland Cavaliers,Miami Heat,V
Milwaukee Bucks,Charlotte Hornets,H
Dallas Mavericks,New Orleans Pelicans,V
Houston Rockets,Oklahoma City Thunder,V
Sacramento Kings,Los Angeles Clippers,V
Chicago Bulls,New York Knicks,V
Toronto Raptors,Milwaukee Bucks,H
Memphis Grizzlies,Oklahoma City Thunder,H
Phoenix Suns,Detroit Pistons,H
San Antonio Spurs,Portland Trail Blazers,V
Miami Heat,Indiana Pacers,V
Cleveland Cavaliers,Washington Wizards,V
Philadelphia 76ers,Atlanta Hawks,V
Brooklyn Nets,Minnesota Timberwolves,H
Houston Rockets,Orlando Magic,H
New Orleans Pelicans,Dallas Mavericks,V
Utah Jazz,Boston Celtics,H
Golden State Warriors,Phoenix Suns,H
Los Angeles Clippers,Los Angeles Lakers,V
Denver Nuggets,New York Knicks,V
Chicago Bulls,Brooklyn Nets,V
Milwaukee Bucks,Miami Heat,H
Memphis Grizzlies,Dallas Mavericks,V
San Antonio Spurs,Golden State Warriors,V
Boston Celtics,Portland Trail Blazers,V
Sacramento Kings,Los Angeles Clippers,H
Utah Jazz,Cleveland Cavaliers,V
Charlotte Hornets,Atlanta Hawks,V
Toronto Raptors,Washington Wizards,H
Houston Rockets,New Orleans Pelicans,H
Philadelphia 76ers,Charlotte Hornets,V
Oklahoma City Thunder,Detroit Pistons,V
Indiana Pacers,Washington Wizards,H
Memphis Grizzlies,Miami Heat,V
Chicago Bulls,Denver Nuggets,H
Milwaukee Bucks,Cleveland Cavaliers,H
Atlanta Hawks,Minnesota Timberwolves,V
Phoenix Suns,San Antonio Spurs,H
Golden State Warriors,Orlando Magic,H
Los Angeles Clippers,Portland Trail Blazers,V
Brooklyn Nets,Dallas Mavericks,V
