Visitor/Neutral,PTS,Home/Neutral,PTS,Result (so far)
Houston Rockets,134,Orlando Magic,127,Houston Rockets
Oklahoma City Thunder,103,Detroit Pistons,112,Detroit Pistons
New Orleans Pelicans,122,Indiana Pacers,129,Indiana Pacers
Phoenix Suns,88,Philadelphia 76ers,100,Philadelphia 76ers
Milwaukee Bucks,98,Atlanta Hawks,117,Atlanta Hawks
Portland Trail Blazers,110,Miami Heat,107,Portland Trail Blazers
Toronto Raptors,97,Chicago Bulls,111,Chicago Bulls
Boston Celtics,109,Memphis Grizzlies,106,Boston Celtics
New York Knicks,120,Minnesota Timberwolves,107,New York Knicks
Denver Nuggets,115,San Antonio Spurs,109,Denver Nuggets
Brooklyn Nets,94,Dallas Mavericks,96,Dallas Mavericks
Sacramento Kings,113,Golden State Warriors,116,Golden State Warriors
Los Angeles Lakers,116,Utah Jazz,139,Utah Jazz
Cleveland Cavaliers,117,Los Angeles Clippers,119,Los Angeles Clippers
Dallas Mavericks,87,Orlando Magic,94,Orlando Magic
Portland Trail Blazers,105,Charlotte Hornets,95,Portland Trail Blazers
Denver Nuggets,122,Indiana Pacers,119,Denver Nuggets
Utah Jazz,125,Atlanta Hawks,119,Utah Jazz
Detroit Pistons,112,Boston Celtics,128,Boston Celtics
New York Knicks,85,Brooklyn Nets,112,Brooklyn Nets
Houston Rockets,109,Toronto Raptors,116,Toronto Raptors
New Orleans Pelicans,115,Chicago Bulls,111,New Orleans Pelicans
Phoenix Suns,129,Minnesota Timberwolves,117,Phoenix Suns
Milwaukee Bucks,136,Oklahoma City Thunder,132,Milwaukee Bucks
Memphis Grizzlies,124,San Antonio Spurs,122,Memphis Grizzlies
Los Angeles Lakers,101,Los Angeles Clippers,114,Los Angeles Clippers
Cleveland Cavaliers,120,Sacramento Kings,127,Sacramento Kings
Dallas Mavericks,105,Washington Wizards,113,Washington Wizards
Philadelphia 76ers,95,Atlanta Hawks,104,Atlanta Hawks
Charlotte Hornets,112,Miami Heat,117,Miami Heat
Portland Trail Blazers,106,New Orleans Pelicans,95,Portland Trail Blazers
Denver Nuggets,112,Boston Celtics,131,Boston Celtics
Phoenix Suns,97,Orlando Magic,114,Orlando Magic
Detroit Pistons,112,New York Knicks,121,New York Knicks
Toronto Raptors,113,Oklahoma City Thunder,132,Oklahoma City Thunder
Milwaukee Bucks,93,San Antonio Spurs,111,San Antonio Spurs
Minnesota Timberwolves,103,Memphis Grizzlies,114,Memphis Grizzlies
Cleveland Cavaliers,101,Golden State Warriors,106,Golden State Warriors
Sacramento Kings,120,Los Angeles Lakers,114,Sacramento Kings
Brooklyn Nets,110,Los Angeles Clippers,95,Brooklyn Nets
Utah Jazz,112,Washington Wizards,121,Washington Wizards
Boston Celtics,117,Detroit Pistons,108,Boston Celtics
Toronto Raptors,104,Indiana Pacers,118,Indiana Pacers
Atlanta Hawks,109,Philadelphia 76ers,121,Philadelphia 76ers
Charlotte Hornets,115,Miami Heat,132,Miami Heat
Portland Trail Blazers,112,Dallas Mavericks,117,Dallas Mavericks
Houston Rockets,106,New Orleans Pelicans,119,New Orleans Pelicans
Oklahoma City Thunder,145,New York Knicks,135,Oklahoma City Thunder
Minnesota Timberwolves,129,Cleveland Cavaliers,124,Minnesota Timberwolves
Memphis Grizzlies,92,Washington Wizards,102,Washington Wizards
Utah Jazz,98,Philadelphia 76ers,105,Philadelphia 76ers
Denver Nuggets,126,Chicago Bulls,103,Denver Nuggets
Golden State Warriors,115,Sacramento Kings,122,Sacramento Kings
Brooklyn Nets,103,Los Angeles Lakers,116,Los Angeles Lakers
Toronto Raptors,115,Detroit Pistons,111,Toronto Raptors
Charlotte Hornets,112,Orlando Magic,105,Charlotte Hornets
Oklahoma City Thunder,122,Boston Celtics,126,Boston Celtics
Phoenix Suns,112,Miami Heat,113,Miami Heat
Los Angeles Clippers,122,Houston Rockets,106,Los Angeles Clippers
Atlanta Hawks,121,Milwaukee Bucks,106,Atlanta Hawks
San Antonio Spurs,95,Golden State Warriors,132,Golden State Warriors
Memphis Grizzlies,102,New Orleans Pelicans,113,New Orleans Pelicans
Los Angeles Clippers,101,Dallas Mavericks,103,Dallas Mavericks
New York Knicks,118,Utah Jazz,111,New York Knicks
San Antonio Spurs,110,Portland Trail Blazers,117,Portland Trail Blazers
Brooklyn Nets,121,Sacramento Kings,153,Sacramento Kings
Indiana Pacers,125,Charlotte Hornets,113,Indiana Pacers
Minnesota Timberwolves,126,Orlando Magic,108,Minnesota Timberwolves
Oklahoma City Thunder,121,Washington Wizards,120,Oklahoma City Thunder
Boston Celtics,126,Atlanta Hawks,101,Boston Celtics
Miami Heat,104,Toronto Raptors,112,Toronto Raptors
Cleveland Cavaliers,98,Milwaukee Bucks,113,Milwaukee Bucks
Chicago Bulls,110,New Orleans Pelicans,124,New Orleans Pelicans
Houston Rockets,101,Dallas Mavericks,92,Houston Rockets
New York Knicks,106,Denver Nuggets,103,New York Knicks
Golden State Warriors,119,Phoenix Suns,130,Phoenix Suns
Brooklyn Nets,109,Portland Trail Blazers,107,Brooklyn Nets
San Antonio Spurs,112,Sacramento Kings,130,Sacramento Kings
Detroit Pistons,91,Los Angeles Clippers,96,Los Angeles Clippers
Miami Heat,106,Washington Wizards,107,Washington Wizards
Charlotte Hornets,122,Cleveland Cavaliers,132,Cleveland Cavaliers
Milwaukee Bucks,102,Philadelphia 76ers,110,Philadelphia 76ers
Orlando Magic,108,Chicago Bulls,107,Orlando Magic
Indiana Pacers,99,Houston Rockets,91,Indiana Pacers
Oklahoma City Thunder,110,Memphis Grizzlies,121,Memphis Grizzlies
Denver Nuggets,99,Dallas Mavericks,127,Dallas Mavericks
Boston Celtics,117,New Orleans Pelicans,109,Boston Celtics
Phoenix Suns,133,Utah Jazz,134,Utah Jazz
New York Knicks,101,Golden State Warriors,111,Golden State Warriors
Detroit Pistons,121,Los Angeles Lakers,128,Los Angeles Lakers
Toronto Raptors,122,Atlanta Hawks,124,Atlanta Hawks
Orlando Magic,113,Indiana Pacers,114,Indiana Pacers
Minnesota Timberwolves,112,Philadelphia 76ers,109,Minnesota Timberwolves
Utah Jazz,118,Portland Trail Blazers,113,Utah Jazz
San Antonio Spurs,97,Los Angeles Clippers,119,Los Angeles Clippers
New York Knicks,95,Phoenix Suns,116,Phoenix Suns
Detroit Pistons,129,Sacramento Kings,137,Sacramento Kings
Charlotte Hornets,102,Washington Wizards,106,Washington Wizards
Memphis Grizzlies,115,Brooklyn Nets,127,Brooklyn Nets
Miami Heat,87,Cleveland Cavaliers,113,Cleveland Cavaliers
Golden State Warriors,127,Houston Rockets,120,Golden State Warriors
Denver Nuggets,98,Dallas Mavericks,97,Denver Nuggets
San Antonio Spurs,92,Los Angeles Lakers,123,Los Angeles Lakers
Atlanta Hawks,102,Cleveland Cavaliers,114,Cleveland Cavaliers
Orlando Magic,102,Indiana Pacers,123,Indiana Pacers
Boston Celtics,107,Chicago Bulls,121,Chicago Bulls
Portland Trail Blazers,111,Milwaukee Bucks,119,Milwaukee Bucks
Miami Heat,101,Minnesota Timberwolves,105,Minnesota Timberwolves
Golden State Warriors,83,New Orleans Pelicans,128,New Orleans Pelicans
New York Knicks,129,Oklahoma City Thunder,119,New York Knicks
Utah Jazz,114,Los Angeles Clippers,121,Los Angeles Clippers
Brooklyn Nets,106,Philadelphia 76ers,115,Philadelphia 76ers
Sacramento Kings,113,Memphis Grizzlies,109,Sacramento Kings
Detroit Pistons,110,Denver Nuggets,108,Detroit Pistons
Los Angeles Lakers,105,Phoenix Suns,115,Phoenix Suns
Philadelphia 76ers,101,Charlotte Hornets,107,Charlotte Hornets
Portland Trail Blazers,96,Cleveland Cavaliers,114,Cleveland Cavaliers
Minnesota Timberwolves,115,Indiana Pacers,101,Minnesota Timberwolves
Sacramento Kings,106,Atlanta Hawks,115,Atlanta Hawks
Dallas Mavericks,112,Boston Celtics,125,Boston Celtics
Washington Wizards,105,Miami Heat,113,Miami Heat
Brooklyn Nets,112,Toronto Raptors,98,Brooklyn Nets
Chicago Bulls,118,Milwaukee Bucks,113,Chicago Bulls
Denver Nuggets,131,Oklahoma City Thunder,126,Denver Nuggets
New Orleans Pelicans,129,San Antonio Spurs,110,New Orleans Pelicans
Detroit Pistons,125,Utah Jazz,116,Detroit Pistons
Los Angeles Clippers,107,Golden State Warriors,124,Golden State Warriors
Minnesota Timberwolves,108,Charlotte Hornets,110,Charlotte Hornets
Philadelphia 76ers,107,Orlando Magic,99,Philadelphia 76ers
Portland Trail Blazers,132,New York Knicks,129,Portland Trail Blazers
Sacramento Kings,104,Boston Celtics,122,Boston Celtics
